mol_name,smiles,bond_idx,elem1,elem2,bond_order,hybridization_1,hybridization_2,is_in_ring,ring_size,mmff_length,dft_length
toluene,Cc1ccccc1,11,C,H,1.0,SP2,OTHER,0,0,1.0867303567753135,1.0871259872070946
toluene,Cc1ccccc1,12,C,H,1.0,SP2,OTHER,0,0,1.0866126778010645,1.0868098842359686
toluene,Cc1ccccc1,13,C,H,1.0,SP2,OTHER,0,0,1.0867301505898326,1.0871268564891587
toluene,Cc1ccccc1,14,C,H,1.0,SP2,OTHER,0,0,1.087551436879654,1.088063240063738
naphthalene,c1ccc2ccccc2c1,0,C,C,1.5,SP2,SP2,1,6,1.3918141389319914,1.416926
naphthalene,c1ccc2ccccc2c1,1,C,C,1.5,SP2,SP2,1,6,1.395893037094533,1.376591129088445
naphthalene,c1ccc2ccccc2c1,2,C,C,1.5,SP2,SP2,1,6,1.4044162185025493,1.4210662225990736
naphthalene,c1ccc2ccccc2c1,3,C,C,1.5,SP2,SP2,1,6,1.40441559943558,1.4210662225990736
naphthalene,c1ccc2ccccc2c1,4,C,C,1.5,SP2,SP2,1,6,1.3958945477656972,1.376591129088445
naphthalene,c1ccc2ccccc2c1,5,C,C,1.5,SP2,SP2,1,6,1.391812678142429,1.416926
naphthalene,c1ccc2ccccc2c1,6,C,C,1.5,SP2,SP2,1,6,1.3958945610500098,1.376591129088445
naphthalene,c1ccc2ccccc2c1,7,C,C,1.5,SP2,SP2,1,6,1.4044160103010788,1.4210662225990736
naphthalene,c1ccc2ccccc2c1,8,C,C,1.5,SP2,SP2,1,6,1.4044164964172843,1.4210662225990736
naphthalene,c1ccc2ccccc2c1,9,C,C,1.5,SP2,SP2,1,6,1.395894352667493,1.376591129088445
naphthalene,c1ccc2ccccc2c1,10,C,C,1.5,SP2,SP2,1,6,1.4141335267198072,1.433854
naphthalene,c1ccc2ccccc2c1,11,C,H,1.0,SP2,OTHER,0,0,1.0867922675755473,1.086715891296801
naphthalene,c1ccc2ccccc2c1,12,C,H,1.0,SP2,OTHER,0,0,1.086793079020105,1.086715891296801
naphthalene,c1ccc2ccccc2c1,13,C,H,1.0,SP2,OTHER,0,0,1.0875665053935784,1.087694655627672
naphthalene,c1ccc2ccccc2c1,14,C,H,1.0,SP2,OTHER,0,0,1.0875670535006103,1.087694655627672
naphthalene,c1ccc2ccccc2c1,15,C,H,1.0,SP2,OTHER,0,0,1.0867936266771165,1.086715891296801
naphthalene,c1ccc2ccccc2c1,16,C,H,1.0,SP2,OTHER,0,0,1.086792408638835,1.086715891296801
naphthalene,c1ccc2ccccc2c1,17,C,H,1.0,SP2,OTHER,0,0,1.0875657050242984,1.087694655627672
naphthalene,c1ccc2ccccc2c1,18,C,H,1.0,SP2,OTHER,0,0,1.0875663017499209,1.087694655627672
pyridine,c1ccncc1,0,C,C,1.5,SP2,SP2,1,6,1.3909628656926827,1.3948179976254969
pyridine,c1ccncc1,1,C,C,1.5,SP2,SP2,1,6,1.3858063695523988,1.3961501698116145
pyridine,c1ccncc1,2,C,N,1.5,SP2,SP2,1,6,1.3508959496297264,1.3392353783995552
pyridine,c1ccncc1,3,C,N,1.5,SP2,SP2,1,6,1.350895440393149,1.3392359001908514
pyridine,c1ccncc1,4,C,C,1.5,SP2,SP2,1,6,1.3858073604487748,1.3961491706275515
pyridine,c1ccncc1,5,C,C,1.5,SP2,SP2,1,6,1.3909631319812183,1.3948179976254969
pyridine,c1ccncc1,6,C,H,1.0,SP2,OTHER,0,0,1.0861270409183266,1.086844
pyridine,c1ccncc1,7,C,H,1.0,SP2,OTHER,0,0,1.0839936458503803,1.0863150013923217
pyridine,c1ccncc1,8,C,H,1.0,SP2,OTHER,0,0,1.0861458036677212,1.089267467960464
pyridine,c1ccncc1,9,C,H,1.0,SP2,OTHER,0,0,1.0861455303250114,1.0892688493319727
pyridine,c1ccncc1,10,C,H,1.0,SP2,OTHER,0,0,1.0839934002299092,1.086315470681054
furan,c1ccoc1,0,C,C,1.5,SP2,SP2,1,5,1.4159486027575297,1.4359900000055712
furan,c1ccoc1,1,C,C,1.5,SP2,SP2,1,5,1.3755009429607818,1.3606787309210797
furan,c1ccoc1,2,C,O,1.5,SP2,SP2,1,5,1.3582062916884168,1.3640675554579398
furan,c1ccoc1,3,C,O,1.5,SP2,SP2,1,5,1.3582068750753693,1.3640675554550075
furan,c1ccoc1,4,C,C,1.5,SP2,SP2,1,5,1.375500718903847,1.3606787309166701
furan,c1ccoc1,5,C,H,1.0,SP2,OTHER,0,0,1.0807655472710074,1.0811497952434714
furan,c1ccoc1,6,C,H,1.0,SP2,OTHER,0,0,1.080765007735724,1.0811499821005408
furan,c1ccoc1,7,C,H,1.0,SP2,OTHER,0,0,1.0810722255358334,1.0793687600153155
furan,c1ccoc1,8,C,H,1.0,SP2,OTHER,0,0,1.0810723702884095,1.0793688054344541
thiophene,c1ccsc1,0,C,C,1.5,SP2,SP2,1,5,1.4251527027774953,1.4296580000055958
thiophene,c1ccsc1,1,C,C,1.5,SP2,SP2,1,5,1.3777324505759454,1.3674297133768887
thiophene,c1ccsc1,2,C,S,1.5,SP2,SP2,1,5,1.7116081741651623,1.7361324457989948
thiophene,c1ccsc1,3,C,S,1.5,SP2,SP2,1,5,1.711607449391945,1.736132445805043
thiophene,c1ccsc1,4,C,C,1.5,SP2,SP2,1,5,1.3777323295361112,1.3674297133948055
thiophene,c1ccsc1,5,C,H,1.0,SP2,OTHER,0,0,1.0830806528661658,1.084798073621999
thiophene,c1ccsc1,6,C,H,1.0,SP2,OTHER,0,0,1.0830803750059366,1.084798073617851
thiophene,c1ccsc1,7,C,H,1.0,SP2,OTHER,0,0,1.0813256739451809,1.081625667741849
thiophene,c1ccsc1,8,C,H,1.0,SP2,OTHER,0,0,1.081325708575358,1.081625667745547
pyrrole,c1cc[nH]c1,0,C,C,1.5,SP2,SP2,1,5,1.415462869099716,1.4252120000014032
