mol_name,label,center,mmff_angle,dft_angle,delta
methylamine,H-N_C,C,110.20499748648186,109.06734502173049,-1.137652464751369
methylamine,H-H_C,C,108.71129176979055,107.70609573441999,-1.0051960353705596
methylamine,H-H_C,C,108.35310554261767,107.20619084013742,-1.1469147024802453
methylamine,H-H_C,C,108.7112573692425,107.70610919455049,-1.0051481746920103
methylamine,C-H_N,N,109.41193966403976,109.59892188757998,0.18698222354021254
methylamine,C-H_N,N,109.41190794632713,109.59892188757998,0.1870139412528431
methylamine,H-H_N,N,106.14573414619036,105.80667648333578,-0.33905766285458583
morpholine,C-N_C,C,112.27543594451815,112.8028190605793,0.5273831160611451
morpholine,C-H_C,C,109.683027898254,108.9139649575908,-0.7690629406631899
morpholine,C-H_C,C,109.8056334756146,110.61714853319418,0.8115150575795838
morpholine,H-N_C,C,108.58296211003666,107.73374428477145,-0.8492178252652138
morpholine,H-N_C,C,109.08691851584221,109.02310397974857,-0.06381453609364485
morpholine,H-H_C,C,107.27073526844482,107.57621535617841,0.30548008773358504
morpholine,C-O_C,C,111.32042097379933,111.04698509543117,-0.2734358783681614
morpholine,C-H_C,C,111.13101222049335,109.75588762421333,-1.375124596280017
morpholine,C-H_C,C,109.84672696809596,111.68636485135465,1.839637883258689
morpholine,H-O_C,C,109.05344081270938,109.8577122680727,0.8042714553633203
morpholine,H-O_C,C,107.63845713636476,106.2560772653325,-1.3823798710322706
morpholine,H-H_C,C,107.72002195596454,108.14075609629144,0.4207341403268998
morpholine,C-C_O,O,110.69016680983812,111.68325434701214,0.99308753717402
morpholine,C-O_C,C,111.320485191511,111.04698509543117,-0.27350009607982884
morpholine,H-O_C,C,109.05360286296403,109.8577122680727,0.8041094051086759
morpholine,H-O_C,C,107.63854578431548,106.2560772653325,-1.3824685189829893
morpholine,C-H_C,C,111.13072909315133,109.75588762421333,-1.3748414689380013
morpholine,C-H_C,C,109.84669823238202,111.68636485135465,1.839666618972629
morpholine,H-H_C,C,107.72002984645164,108.14075609629144,0.42072624983980234
morpholine,C-N_C,C,112.27539774450777,112.8028190605793,0.5274213160715249
morpholine,C-H_C,C,109.80568070315493,110.61714853319418,0.8114678300392484
morpholine,C-H_C,C,109.68316116338539,108.9140170700494,-0.7691440933359956
morpholine,H-N_C,C,109.0867892713264,109.02310397974857,-0.06368529157782632
morpholine,H-N_C,C,108.58304614679498,107.73371612351143,-0.8493300232835566
morpholine,H-H_C,C,107.27063409197467,107.57618939033314,0.3055552983584704
morpholine,C-C_N,N,108.28283717930742,110.52359210327546,2.2407549239680407
morpholine,C-H_N,N,108.35319216833797,108.71563604343574,0.36244387509776743
morpholine,C-H_N,N,108.35331091064198,108.71563604343574,0.36232513279375667
naphthalene,C-C_C,C,119.9907225233434,120.27636942351106,0.2856469001676629
naphthalene,C-H_C,C,120.05688181379308,119.62058991928224,-0.4362918945108447
naphthalene,C-H_C,C,119.95239565786713,120.10304065714622,0.1506449992790948
naphthalene,C-C_C,C,119.99068108161482,120.27636942351106,0.2856883418962326
naphthalene,C-H_C,C,120.05706592453731,119.62058991928224,-0.4364760052550736
naphthalene,C-H_C,C,119.95225298797094,120.10304065714622,0.15078766917528696
naphthalene,C-C_C,C,120.74237347164936,120.87898551089661,0.13661203924725385
naphthalene,C-H_C,C,118.92485529101351,120.4249168843233,1.5000615933097805
naphthalene,C-H_C,C,120.33277121740919,118.69609760471984,-1.63667361268935
naphthalene,C-C_C,C,121.46601045769907,122.31070986886668,0.8446994111676105
