mol_name,label,central_bond,elem_j,elem_k,in_ring,mmff_dihedral,dft_dihedral,delta,abs_delta,conformer_change
morpholine,C-C-O-C,C-O,C,O,1,57.04558935729728,57.950369405273264,0.9047800479759758,0.9047800479759758,False
morpholine,C-O-C-C,C-O,O,C,1,-57.04556221777196,-57.950369405273264,-0.9048071875013193,0.9048071875013193,False
morpholine,O-C-C-N,C-C,C,C,1,56.81534986036109,54.31442119285979,-2.5009286675012845,2.5009286675012845,False
morpholine,C-C-N-C,C-N,C,N,1,-54.062185253989334,-50.009089429330295,4.053095824659039,4.053095824659039,False
morpholine,C-N-C-C,C-N,N,C,1,54.06227202206269,50.009089429330295,-4.053182592732412,4.053182592732412,False
neopentane,H-C-C-C,C-C,C,C,0,179.99959554060342,-179.95223522593102,0.04816923346555768,0.04816923346555768,False
neopentane,H-C-C-C,C-C,C,C,0,-60.00034171386389,-59.96534561038526,0.034996103478619034,0.034996103478619034,False
neopentane,H-C-C-C,C-C,C,C,0,59.999641962418316,60.044715571951116,0.04507360953280681,0.04507360953280681,False
neopentane,C-C-C-H,C-C,C,C,0,-179.9998921911304,-179.94399951246524,0.05589267866517389,0.05589267866517389,False
neopentane,C-C-C-H,C-C,C,C,0,60.00006544097041,60.06460033483708,0.06453489386666433,0.06453489386666433,False
neopentane,C-C-C-H,C-C,C,C,0,-59.99996720763898,-59.94505763088826,0.05490957675073105,0.05490957675073105,False
neopentane,C-C-C-H,C-C,C,C,0,60.000143004422526,59.95095002303457,-0.0491929813879608,0.0491929813879608,False
neopentane,C-C-C-H,C-C,C,C,0,-179.99980336271702,179.93851897984788,-0.0616776574350979,0.0616776574350979,False
neopentane,C-C-C-H,C-C,C,C,0,-59.99979139559759,-60.05341390819197,-0.05362251259438722,0.05362251259438722,False
neopentane,C-C-C-H,C-C,C,C,0,-60.00017398127448,-59.973851199482105,0.026322781792373462,0.026322781792373462,False
neopentane,C-C-C-H,C-C,C,C,0,179.99984790308298,-179.96932039847215,0.030831698444899303,0.030831698444899303,False
neopentane,C-C-C-H,C-C,C,C,0,59.99980228588533,60.030869947119804,0.031067661234487787,0.031067661234487787,False
pentane,H-C-C-C,C-C,C,C,0,179.9999294312022,180.0,7.056879780975578e-05,7.056879780975578e-05,False
pentane,C-C-C-C,C-C,C,C,0,-179.99989667301332,180.0,-0.00010332698661841277,0.00010332698661841277,False
pentane,C-C-C-C,C-C,C,C,0,179.999966851634,180.0,3.314836598633519e-05,3.314836598633519e-05,False
pentane,C-C-C-H,C-C,C,C,0,179.99991247720038,180.0,8.752279961754539e-05,8.752279961754539e-05,False
phenol,H-O-C-C,C-O,O,C,0,7.251657691985615e-05,0.0,-7.251657692108893e-05,7.251657692108893e-05,False
phenol,H-O-C-C,C-O,O,C,0,-179.99992305162846,180.0,-7.694837154303968e-05,7.694837154303968e-05,False
piperidine,C-C-C-C,C-C,C,C,1,51.95710358173145,52.630620023927186,0.6735164421957336,0.6735164421957336,False
piperidine,C-C-C-N,C-C,C,C,1,-55.3889806463365,-56.504885269217056,-1.1159046228805494,1.1159046228805494,False
piperidine,C-C-N-C,C-N,C,N,1,58.544826015903176,62.18764416738422,3.6428181514810376,3.6428181514810376,False
piperidine,C-N-C-C,C-N,N,C,1,-58.54457987461445,-62.18765167032888,-3.643071795714434,3.643071795714434,False
piperidine,N-C-C-C,C-C,C,C,1,55.38852281721001,56.50490811111542,1.1163852939054095,1.1163852939054095,False
piperidine,C-C-C-C,C-C,C,C,1,-51.95687952356721,-52.63060841424599,-0.673728890678774,0.673728890678774,False
propane,H-C-C-C,C-C,C,C,0,-60.24424792772703,-59.8278689083381,0.41637901938892696,0.41637901938892696,False
propane,C-C-C-H,C-C,C,C,0,-179.99996715967785,180.0,-3.284032209194265e-05,3.284032209194265e-05,False
propionic_acid,H-C-C-C,C-C,C,C,0,-59.94353923567097,-59.70291588916401,0.2406233465069647,0.2406233465069647,False
propionic_acid,C-C-C-O,C-C,C,C,0,6.343325071066592e-05,-0.0032588730886215682,-0.0033223063393279517,0.0033223063393279517,False
propionic_acid,C-C-C-O,C-C,C,C,0,179.99983639055628,-179.99633889531646,0.003824714127290463,0.003824714127290463,False
propionic_acid,C-C-O-H,C-O,C,O,0,-179.9996043966861,179.99663404629862,-0.003761557015309336,0.003761557015309336,False
propionic_acid,O-C-O-H,C-O,C,O,0,0.00018689064199848757,0.0032506276701574203,0.0030637370281567655,0.0030637370281567655,False
propylene,H-C-C-C,C-C,C,C,0,-120.4162712468971,-120.72451035694968,-0.3082391100525683,0.3082391100525683,False
propyne,H-C-C-C,C-C,C,C,0,168.63014128699564,174.47679097831517,5.846649691319527,5.846649691319527,False
tert-butanol,H-C-C-C,C-C,C,C,0,-61.85720734977447,-61.49754713519903,0.35966021457545594,0.35966021457545594,False
tert-butanol,H-C-C-C,C-C,C,C,0,61.21777781925473,62.199890916663,0.9821130974082735,0.9821130974082735,False
tert-butanol,H-C-C-O,C-C,C,C,0,178.96804025039214,177.4179640550917,-1.5500761953004485,1.5500761953004485,False
tert-butanol,C-C-C-H,C-C,C,C,0,-177.06163778317477,-177.84302840902646,-0.7813906258516852,0.7813906258516852,False
tert-butanol,C-C-C-H,C-C,C,C,0,59.86339031007057,58.45954904895381,-1.403841261116753,1.403841261116753,False
tert-butanol,O-C-C-H,C-C,C,C,0,-57.88693432433074,-56.75853636756977,1.1283979567609776,1.1283979567609776,False
tert-butanol,C-C-C-H,C-C,C,C,0,59.43839289906594,58.5070126372206,-0.9313802618453337,0.9313802618453337,False
tert-butanol,C-C-C-H,C-C,C,C,0,-177.31319717765797,-177.7914523948926,-0.4782552172346186,0.4782552172346186,False
tert-butanol,O-C-C-H,C-C,C,C,0,-58.93734655212891,-59.64221629593549,-0.7048697438065687,0.7048697438065687,False
tert-butanol,C-C-O-H,C-O,C,O,0,60.31753899657779,60.94714487559059,0.6296058790127859,0.6296058790127859,False
tert-butanol,C-C-O-H,C-O,C,O,0,-60.31590435728342,-60.94646968742874,-0.6305653301453162,0.6305653301453162,False
tert-butanol,C-C-O-H,C-O,C,O,0,-179.999218964799,-179.9996769194363,-0.00045795463728381947,0.00045795463728381947,False
toluene,H-C-C-C,C-C,C,C,0,-150.8798931926697,-150.933491823328,-0.05359863065831405,0.05359863065831405,False
toluene,H-C-C-C,C-C,C,C,0,31.863456883328478,30.230339079544077,-1.633117803784387,1.633117803784387,False
trimethylamine,H-C-N-C,C-N,C,N,0,59.84619230536595,57.935885253880016,-1.910307051485944,1.910307051485944,False
trimethylamine,H-C-N-C,C-N,C,N,0,-177.66652923756465,-176.58088887805107,1.085640359513576,1.085640359513576,False
trimethylamine,C-N-C-H,C-N,N,C,0,-177.66639757656296,-176.5784698808828,1.0879276956801505,1.0879276956801505,False
trimethylamine,C-N-C-H,C-N,N,C,0,59.846318350171295,57.94863040880943,-1.8976879413618803,1.8976879413618803,False
trimethylamine,C-N-C-H,C-N,N,C,0,177.66637652706152,176.56196108189883,-1.1044154451626866,1.1044154451626866,False
trimethylamine,C-N-C-H,C-N,N,C,0,-59.846369938621784,-57.95773995440689,1.8886299842149015,1.8886299842149015,False
